iteration,model_name,accuracy,precision,recall,f1_score,auc_roc,n_support_vectors
0,SVM_Linear,0.6052631578947368,0.5662280701754385,0.6052631578947368,0.5798872180451128,0.5232371794871795,173
0,SVM_RBF,0.631578947368421,0.6150375939849625,0.631578947368421,0.6216551479709375,0.53125,260
0,SVM_Poly,0.6842105263157895,0.46814404432132967,0.6842105263157895,0.555921052631579,0.5144230769230769,284
0,Nu_SVM,0.6052631578947368,0.5771324863883848,0.6052631578947368,0.5878332194121668,0.5032051282051282,252
1,SVM_Linear,0.5921052631578947,0.5100478468899522,0.5921052631578947,0.539014202172097,0.4639423076923077,168
1,SVM_RBF,0.5526315789473685,0.5526315789473685,0.5526315789473685,0.5526315789473685,0.4631410256410256,239
1,SVM_Poly,0.6842105263157895,0.46814404432132967,0.6842105263157895,0.555921052631579,0.6017628205128205,284
1,Nu_SVM,0.5921052631578947,0.5678670360110804,0.5921052631578947,0.5777458367489023,0.45512820512820507,228
2,SVM_Linear,0.618421052631579,0.529719821942917,0.618421052631579,0.5557476579148406,0.41666666666666663,164
2,SVM_RBF,0.5394736842105263,0.47955133735979305,0.5394736842105263,0.5046755759378022,0.49358974358974356,276
2,SVM_Poly,0.6842105263157895,0.46814404432132967,0.6842105263157895,0.555921052631579,0.4607371794871795,278
2,Nu_SVM,0.618421052631579,0.5012531328320802,0.618421052631579,0.540599699729195,0.46153846153846156,271
3,SVM_Linear,0.618421052631579,0.5012531328320802,0.618421052631579,0.540599699729195,0.4815705128205129,165
3,SVM_RBF,0.4868421052631579,0.4680792891319207,0.4868421052631579,0.4769306443679292,0.4166666666666667,261
3,SVM_Poly,0.6842105263157895,0.46814404432132967,0.6842105263157895,0.555921052631579,0.5072115384615384,287
3,Nu_SVM,0.5394736842105263,0.47955133735979305,0.5394736842105263,0.5046755759378022,0.4326923076923077,252
4,SVM_Linear,0.6052631578947368,0.5192982456140351,0.6052631578947368,0.547410400377814,0.5665064102564102,159
4,SVM_RBF,0.631578947368421,0.5756578947368421,0.631578947368421,0.5892316999395039,0.48557692307692313,271
4,SVM_Poly,0.6842105263157895,0.6294452347083926,0.6842105263157895,0.5781762097551572,0.5384615384615385,281
4,Nu_SVM,0.631578947368421,0.561244019138756,0.631578947368421,0.5775830403526263,0.483573717948718,263
5,SVM_Linear,0.5394736842105263,0.4587108797635113,0.5394736842105263,0.49304224132599417,0.4310897435897436,161
5,SVM_RBF,0.5,0.47500000000000003,0.5,0.48653198653198654,0.4110576923076923,263
5,SVM_Poly,0.6447368421052632,0.4592645998558039,0.6447368421052632,0.5364210526315789,0.5480769230769231,281
5,Nu_SVM,0.5394736842105263,0.4587108797635113,0.5394736842105263,0.49304224132599417,0.39903846153846156,256
6,SVM_Linear,0.631578947368421,0.561244019138756,0.631578947368421,0.5775830403526263,0.5352564102564102,163
6,SVM_RBF,0.5657894736842105,0.5505126452494874,0.5657894736842105,0.5574028529267093,0.49238782051282054,254
6,SVM_Poly,0.6710526315789473,0.4652631578947368,0.6710526315789473,0.5495234148363034,0.5713141025641026,286
6,Nu_SVM,0.5789473684210527,0.5350877192982456,0.5789473684210527,0.5518796992481204,0.4743589743589744,243
7,SVM_Linear,0.6578947368421053,0.5913312693498451,0.6578947368421053,0.5951754385964912,0.561698717948718,155
7,SVM_RBF,0.6052631578947368,0.5771324863883848,0.6052631578947368,0.5878332194121668,0.5897435897435898,245
