iteration,model_name,accuracy,precision,recall,f1_score,auc_roc,n_support_vectors
14,SVM_RBF,0.5789473684210527,0.5692893850788588,0.5789473684210527,0.5737662449807867,0.5608974358974359,272
14,SVM_Poly,0.6710526315789473,0.4652631578947368,0.6710526315789473,0.5495234148363034,0.5665064102564104,282
14,Nu_SVM,0.6052631578947368,0.5662280701754385,0.6052631578947368,0.5798872180451128,0.5568910256410257,267
15,SVM_Linear,0.6710526315789473,0.6113108859104281,0.6710526315789473,0.6039652583872371,0.5913461538461539,164
15,SVM_RBF,0.5921052631578947,0.5779904306220096,0.5921052631578947,0.5842269224463026,0.47516025641025644,262
15,SVM_Poly,0.6842105263157895,0.46814404432132967,0.6842105263157895,0.555921052631579,0.6842948717948718,285
15,Nu_SVM,0.6052631578947368,0.5771324863883848,0.6052631578947368,0.5878332194121668,0.45272435897435903,253
16,SVM_Linear,0.7105263157894737,0.6904024767801857,0.7105263157894737,0.6574561403508772,0.6634615384615385,171
16,SVM_RBF,0.631578947368421,0.5873150618481688,0.631578947368421,0.5992613111726686,0.5600961538461537,269
16,SVM_Poly,0.6842105263157895,0.46814404432132967,0.6842105263157895,0.555921052631579,0.6530448717948718,284
16,Nu_SVM,0.6447368421052632,0.5885167464114832,0.6447368421052632,0.5984962406015037,0.5536858974358975,261
17,SVM_Linear,0.5657894736842105,0.5118205349439172,0.5657894736842105,0.5329798287413565,0.4198717948717949,164
17,SVM_RBF,0.5657894736842105,0.5392428439519852,0.5657894736842105,0.5505036326681864,0.4611378205128205,275
17,SVM_Poly,0.6447368421052632,0.4592645998558039,0.6447368421052632,0.5364210526315789,0.44871794871794873,280
17,Nu_SVM,0.5657894736842105,0.49386286228391496,0.5657894736842105,0.522011256107366,0.43910256410256415,272
18,SVM_Linear,0.631578947368421,0.541795665634675,0.631578947368421,0.5640350877192982,0.5048076923076923,167
18,SVM_RBF,0.6052631578947368,0.5537230172204705,0.6052631578947368,0.5706371191135734,0.5080128205128205,255
18,SVM_Poly,0.6842105263157895,0.46814404432132967,0.6842105263157895,0.555921052631579,0.532051282051282,285
18,Nu_SVM,0.631578947368421,0.5756578947368421,0.631578947368421,0.5892316999395039,0.4927884615384615,249
19,SVM_Linear,0.5789473684210527,0.5201309725927722,0.5789473684210527,0.5420129270544782,0.5136217948717949,167
19,SVM_RBF,0.5657894736842105,0.5608566124087906,0.5657894736842105,0.5632378819388898,0.4807692307692307,241
19,SVM_Poly,0.6842105263157895,0.46814404432132967,0.6842105263157895,0.555921052631579,0.59375,289
19,Nu_SVM,0.5789473684210527,0.5590225563909774,0.5789473684210527,0.5676058833953571,0.46314102564102566,220
