feature,stability_percentage,avg_coefficient_magnitude
TMEM210,100.0,0.019066804195418906
USP17L7,100.0,0.018855346990158568
CAPZA3,100.0,0.018111794027365687
SLC17A4,100.0,0.01635446879956778
ABCA7,100.0,0.013082465262132473
FAM210A,100.0,0.009165613506398483
LINC01565,100.0,0.009083461306986899
FN3KRP,100.0,0.007850872946490731
LRP2,100.0,0.007249641430130259
PLXNA4,100.0,0.006974879428547444
TAGLN2,100.0,0.006517938893962167
TOB1,100.0,0.00627558618612936
PLSCR1,100.0,0.005384864869198651
RTN3,100.0,0.005265406406190476
PCCA,100.0,0.004817899401028588
MAP1LC3B,100.0,0.004305585070958674
ALDH2,100.0,0.004099644760484974
HTATIP2,100.0,0.004081982830318033
TMBIM1,100.0,0.003545719884717088
RIOK3,100.0,0.003492189359652665
