iteration,model_name,accuracy,precision,recall,f1_score,auc_roc,n_support_vectors
0,SVM_Linear,0.5789473684210527,0.5650303643724697,0.5789473684210527,0.5684449218283805,0.6036231884057971,170
0,SVM_RBF,0.6578947368421053,0.6492914979757085,0.6578947368421053,0.6493614989855592,0.6695652173913044,291
0,SVM_Poly,0.5921052631578947,0.4963950973323719,0.5921052631578947,0.47151300711672234,0.613768115942029,294
0,Nu_SVM,0.618421052631579,0.6029391660970609,0.618421052631579,0.6017533641909082,0.6268115942028986,291
1,SVM_Linear,0.618421052631579,0.5988088366479509,0.618421052631579,0.589271049965339,0.5818840579710145,177
1,SVM_RBF,0.6447368421052632,0.6337359792924935,0.6447368421052632,0.6104279390063945,0.6260869565217392,289
1,SVM_Poly,0.5921052631578947,0.5458235140089028,0.5921052631578947,0.5201891727275985,0.5804347826086956,290
1,Nu_SVM,0.618421052631579,0.5970923813029076,0.618421052631579,0.5626640761428952,0.6086956521739131,292
2,SVM_Linear,0.5526315789473685,0.525375939849624,0.5526315789473685,0.5298245614035088,0.4971014492753623,166
2,SVM_RBF,0.5263157894736842,0.5022151337940812,0.5263157894736842,0.5088259109311741,0.4942028985507247,293
2,SVM_Poly,0.6052631578947368,0.5733652312599681,0.6052631578947368,0.5418233082706766,0.5652173913043478,291
2,Nu_SVM,0.5263157894736842,0.4764254385964913,0.5263157894736842,0.48551444238158975,0.4572463768115942,292
3,SVM_Linear,0.5789473684210527,0.5695546558704454,0.5789473684210527,0.5726817042606516,0.5014492753623189,174
3,SVM_RBF,0.5263157894736842,0.5149797570850202,0.5263157894736842,0.519266917293233,0.5202898550724638,293
3,SVM_Poly,0.5657894736842105,0.5433356117566643,0.5657894736842105,0.5468227937344818,0.4717391304347826,285
3,Nu_SVM,0.5657894736842105,0.5433356117566643,0.5657894736842105,0.5468227937344818,0.5079710144927536,293
4,SVM_Linear,0.618421052631579,0.6056517421527567,0.618421052631579,0.6067126077056564,0.5978260869565218,192
4,SVM_RBF,0.618421052631579,0.6123045709511875,0.618421052631579,0.614404432132964,0.641304347826087,293
4,SVM_Poly,0.631578947368421,0.6188197767145136,0.631578947368421,0.6179757085020242,0.6456521739130435,292
