iteration,model_name,accuracy,precision,recall,f1_score,auc_roc,best_iteration,training_loss,validation_loss
0,XGB_Default,0.5657894736842105,0.5911478279899333,0.5657894736842105,0.5705660169281245,0.6804347826086956,0,0.7195924474079101,
0,XGB_Regularized,0.6842105263157895,0.7063711911357341,0.6842105263157895,0.687748783724016,0.7134057971014494,9,0.6928803046218684,
0,XGB_Deep,0.6052631578947368,0.6152882205513784,0.6052631578947368,0.6086273923444976,0.5992753623188405,0,0.7516769038849189,
1,XGB_Default,0.618421052631579,0.6056517421527567,0.618421052631579,0.6067126077056564,0.560144927536232,3,0.7118528463312837,
1,XGB_Regularized,0.5526315789473685,0.5369433198380567,0.5526315789473685,0.5414727294426541,0.5499999999999999,5,0.7041751532281031,
1,XGB_Deep,0.5789473684210527,0.5650303643724697,0.5789473684210527,0.5684449218283805,0.5507246376811594,4,0.682148026149781,
2,XGB_Default,0.631578947368421,0.6361393540669857,0.631578947368421,0.6334276551594038,0.5992753623188406,0,0.8208665967476173,
2,XGB_Regularized,0.5526315789473685,0.574792243767313,0.5526315789473685,0.5576441102756892,0.6065217391304347,0,0.7512003984607634,
2,XGB_Deep,0.5789473684210527,0.5741697994987469,0.5789473684210527,0.5761671236050507,0.5880434782608696,2,0.704093478742193,
3,XGB_Default,0.6052631578947368,0.5968421052631578,0.6052631578947368,0.5993890977443609,0.6028985507246376,15,0.6929964932506202,
3,XGB_Regularized,0.5789473684210527,0.6011080332409972,0.5789473684210527,0.5836650449653545,0.5355072463768116,9,0.6912086982218946,
3,XGB_Deep,0.5921052631578947,0.5731373889268626,0.5921052631578947,0.574288078962695,0.5427536231884058,17,0.6893608796059109,
4,XGB_Default,0.5,0.5535714285714285,0.5,0.4968814968814968,0.5398550724637682,1,0.7048295528673735,
4,XGB_Regularized,0.5131578947368421,0.5381879855564066,0.5131578947368421,0.5185134129194122,0.5420289855072464,20,0.6690724416345847,
4,XGB_Deep,0.5131578947368421,0.5324980851296641,0.5131578947368421,0.5185435053833003,0.5329710144927536,2,0.7015921209679276,
5,XGB_Default,0.631578947368421,0.6361393540669857,0.631578947368421,0.6334276551594038,0.6481884057971015,6,0.730877124872364,
5,XGB_Regularized,0.5921052631578947,0.5995882942027372,0.5921052631578947,0.5949424122103011,0.5967391304347827,3,0.7058535105869418,
5,XGB_Deep,0.4868421052631579,0.47048503611971104,0.4868421052631579,0.47674246534799974,0.47753623188405797,0,0.7041171544887981,
