iteration,model_name,accuracy,precision,recall,f1_score,auc_roc,best_iteration,training_loss,validation_loss
12,XGB_Regularized,0.5789473684210527,0.5016447368421053,0.5789473684210527,0.5305505142165758,0.4326923076923077,45,0.648735020370757,
12,XGB_Deep,0.6447368421052632,0.6086281276962899,0.6447368421052632,0.6178925871520189,0.5520833333333334,19,0.6732184615780096,
13,XGB_Default,0.6710526315789473,0.6408973252804142,0.6710526315789473,0.646196839955573,0.5536858974358974,12,0.6695734965996664,
13,XGB_Regularized,0.5921052631578947,0.5678670360110804,0.5921052631578947,0.5777458367489023,0.5168269230769231,13,0.6813855908933233,
13,XGB_Deep,0.7368421052631579,0.7290271132376396,0.7368421052631579,0.698273600251876,0.5649038461538461,9,0.6638905733335213,
14,XGB_Default,0.5,0.5397727272727273,0.5,0.5148809523809523,0.4883814102564103,0,0.7299032907505505,
14,XGB_Regularized,0.5394736842105263,0.5543620957154791,0.5394736842105263,0.5461790761119456,0.4723557692307693,0,0.7188438098938739,
14,XGB_Deep,0.5789473684210527,0.5692893850788588,0.5789473684210527,0.5737662449807867,0.5472756410256411,0,0.6978362200201534,
15,XGB_Default,0.5657894736842105,0.5118205349439172,0.5657894736842105,0.5329798287413565,0.5600961538461539,14,0.6275665755154657,
15,XGB_Regularized,0.5789473684210527,0.5477918935269207,0.5789473684210527,0.5603554340396446,0.5088141025641026,45,0.5863142298137556,
15,XGB_Deep,0.6052631578947368,0.5386513157894737,0.6052631578947368,0.55989110707804,0.5544871794871795,29,0.5832495103727598,
16,XGB_Default,0.5789473684210527,0.5477918935269207,0.5789473684210527,0.5603554340396446,0.5248397435897436,9,0.6271083579688775,
16,XGB_Regularized,0.5921052631578947,0.5567508002308862,0.5921052631578947,0.5701465265008269,0.48557692307692313,33,0.6315969725857016,
16,XGB_Deep,0.5789473684210527,0.5590225563909774,0.5789473684210527,0.5676058833953571,0.4935897435897436,9,0.670393243432045,
17,XGB_Default,0.6052631578947368,0.5870300751879699,0.6052631578947368,0.5946305156831473,0.5432692307692308,16,0.6683266871288175,
17,XGB_Regularized,0.5921052631578947,0.5678670360110804,0.5921052631578947,0.5777458367489023,0.5649038461538461,18,0.6607174353032815,
17,XGB_Deep,0.6052631578947368,0.5771324863883848,0.6052631578947368,0.5878332194121668,0.47275641025641024,11,0.6216027176038164,
18,XGB_Default,0.6710526315789473,0.6344707923655292,0.6710526315789473,0.637887315232853,0.5496794871794872,17,0.591158314623305,
18,XGB_Regularized,0.6973684210526315,0.6669856459330143,0.6973684210526315,0.6579782790309107,0.5152243589743589,37,0.5962697942970229,
18,XGB_Deep,0.5921052631578947,0.5678670360110804,0.5921052631578947,0.5777458367489023,0.46634615384615385,4,0.6804951412267373,
19,XGB_Default,0.6842105263157895,0.6596491228070175,0.6842105263157895,0.6639097744360902,0.4895833333333334,12,0.6881736895588578,
19,XGB_Regularized,0.5921052631578947,0.6436456996148909,0.5921052631578947,0.6060065417781741,0.6205929487179488,2,0.6838436844896097,
19,XGB_Deep,0.6447368421052632,0.5993188098451256,0.6447368421052632,0.6089183004514812,0.6298076923076923,12,0.6441422010787198,
