feature,stability_percentage,avg_importance,std_importance
LINC02340,95.0,0.007000180904900557,0.006887149494244885
TMEM210,100.0,0.00410796762444079,0.007167660358537303
LINC01565,100.0,0.00407901853468502,0.007070870115873344
ZNF284,100.0,0.00371468899344715,0.007040472714750166
ATF3,95.0,0.0034861841431528887,0.007548861722145254
NPHP4,95.0,0.003390287882530972,0.009799807123950365
SCCPDH,90.0,0.0030700494492150567,0.006703948647609764
RAB33B,90.0,0.0026359455401284825,0.0064246045179647705
GABARAPL1,100.0,0.002330895848960305,0.005752191815812455
ZNF165,95.0,0.001703067027591986,0.0034225149670773125
MAOA,95.0,0.0016595642735952871,0.005674070354638547
FAM210A,90.0,0.001448854576597956,0.003376332925213857
JPT1,90.0,0.0010507767114581333,0.002972674373331394
VWA5A,95.0,0.0010102580142158427,0.0024010632711736674
DUSP1,95.0,0.000981793841147967,0.0036354197633902707
SPRING1,90.0,0.0008873735463971065,0.002176772536462856
EIF1,95.0,0.0006935005801272366,0.0023809813624045225
SNRNP25,100.0,0.000669279313297011,0.0025477440974019053
LIMK2,95.0,0.000626894653562391,0.002780930703165158
ARG2,95.0,0.000602036307235833,0.0018652067582071528
ATL3,90.0,0.0005456986060986916,0.003423856138394173
SDCBP2,95.0,0.0004747495095535557,0.0025566224308659594
TTC39C,95.0,0.0004066034322788351,0.0014453756091844312
CTNNA1,95.0,0.00040044123485578193,0.0017076288259640895
ALDH2,90.0,0.00035831718317543465,0.0014000669846161832
MOCOS,100.0,0.00030141562601784246,0.0009550842254481897
RMND5A,90.0,0.0002925047064544978,0.0013773754189949463
ARRDC3,100.0,0.00021608739625662566,0.0012526608837789487
FN3KRP,90.0,0.0001744029611506482,0.00072508914584691
RNU4-49P,95.0,0.0,0.0
