iteration,model_name,accuracy,precision,recall,f1_score,auc_roc
0,Gaussian NB,0.4868421052631579,0.5316568376543898,0.4868421052631579,0.5030470914127424,0.49759615384615385
0,Multinomial NB,0.5657894736842105,0.5392428439519852,0.5657894736842105,0.5505036326681864,0.5288461538461539
0,Bernoulli NB,0.5789473684210527,0.5016447368421053,0.5789473684210527,0.5305505142165758,0.4423076923076923
1,Gaussian NB,0.3815789473684211,0.4744765138653085,0.3815789473684211,0.3974525102699126,0.40224358974358976
1,Multinomial NB,0.5921052631578947,0.5100478468899522,0.5921052631578947,0.539014202172097,0.5192307692307693
1,Bernoulli NB,0.5526315789473685,0.46463815789473684,0.5526315789473685,0.501209921355112,0.4254807692307693
2,Gaussian NB,0.5789473684210527,0.5692893850788588,0.5789473684210527,0.5737662449807867,0.5492788461538461
2,Multinomial NB,0.5263157894736842,0.5365991902834008,0.5263157894736842,0.5311455108359133,0.47355769230769235
2,Bernoulli NB,0.5657894736842105,0.5118205349439172,0.5657894736842105,0.5329798287413565,0.4511217948717949
3,Gaussian NB,0.47368421052631576,0.560592658115878,0.47368421052631576,0.4903749860910203,0.4927884615384615
3,Multinomial NB,0.6447368421052632,0.575019638648861,0.6447368421052632,0.5863857504724377,0.532051282051282
3,Bernoulli NB,0.6052631578947368,0.5192982456140351,0.6052631578947368,0.547410400377814,0.41506410256410253
4,Gaussian NB,0.5394736842105263,0.5106186518928901,0.5394736842105263,0.5232614285874704,0.48677884615384615
4,Multinomial NB,0.5921052631578947,0.5779904306220096,0.5921052631578947,0.5842269224463026,0.5392628205128205
4,Bernoulli NB,0.631578947368421,0.5756578947368421,0.631578947368421,0.5892316999395039,0.5264423076923077
5,Gaussian NB,0.5263157894736842,0.5365991902834008,0.5263157894736842,0.5311455108359133,0.5084134615384616
5,Multinomial NB,0.5921052631578947,0.5678670360110804,0.5921052631578947,0.5777458367489023,0.49278846153846156
5,Bernoulli NB,0.618421052631579,0.5492822966507177,0.618421052631579,0.5687552213868003,0.40064102564102566
6,Gaussian NB,0.47368421052631576,0.5819221967963387,0.47368421052631576,0.4857876398312855,0.5144230769230769
6,Multinomial NB,0.6842105263157895,0.6544991511035654,0.6842105263157895,0.6565096952908587,0.6354166666666666
6,Bernoulli NB,0.6710526315789473,0.6344707923655292,0.6710526315789473,0.637887315232853,0.624198717948718
7,Gaussian NB,0.4342105263157895,0.5423408116770282,0.4342105263157895,0.4455243481682819,0.4743589743589744
7,Multinomial NB,0.6447368421052632,0.5885167464114832,0.6447368421052632,0.5984962406015037,0.5224358974358974
7,Bernoulli NB,0.6578947368421053,0.5913312693498451,0.6578947368421053,0.5951754385964912,0.4511217948717949
8,Gaussian NB,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.4771634615384615
8,Multinomial NB,0.5921052631578947,0.5779904306220096,0.5921052631578947,0.5842269224463026,0.47115384615384615
8,Bernoulli NB,0.5,0.4416666666666667,0.5,0.46785714285714286,0.4046474358974359
9,Gaussian NB,0.5263157894736842,0.5941828254847645,0.5263157894736842,0.5429541595925297,0.5172275641025641
9,Multinomial NB,0.5921052631578947,0.48442000523697304,0.5921052631578947,0.5251095653572434,0.4415064102564102
9,Bernoulli NB,0.5789473684210527,0.5201309725927722,0.5789473684210527,0.5420129270544782,0.43669871794871795
10,Gaussian NB,0.5394736842105263,0.5445614035087719,0.5394736842105263,0.5419373676910723,0.4639423076923077
10,Multinomial NB,0.5131578947368421,0.5287027091538369,0.5131578947368421,0.520246451889771,0.4238782051282051
10,Bernoulli NB,0.5394736842105263,0.5106186518928901,0.5394736842105263,0.5232614285874704,0.39743589743589747
11,Gaussian NB,0.5789473684210527,0.5692893850788588,0.5789473684210527,0.5737662449807867,0.5052083333333333
11,Multinomial NB,0.5789473684210527,0.5590225563909774,0.5789473684210527,0.5676058833953571,0.4903846153846154
11,Bernoulli NB,0.5921052631578947,0.5440897325280414,0.5921052631578947,0.5612840815449107,0.47916666666666663
12,Gaussian NB,0.4605263157894737,0.5239449976292082,0.4605263157894737,0.479477381979539,0.4375
12,Multinomial NB,0.631578947368421,0.5756578947368421,0.631578947368421,0.5892316999395039,0.5881410256410257
12,Bernoulli NB,0.6578947368421053,0.5913312693498451,0.6578947368421053,0.5951754385964912,0.5480769230769231
13,Gaussian NB,0.5,0.6115942028985507,0.5,0.5114982578397214,0.5448717948717949
13,Multinomial NB,0.6578947368421053,0.5913312693498451,0.6578947368421053,0.5951754385964912,0.594551282051282
13,Bernoulli NB,0.6052631578947368,0.49226006191950467,0.6052631578947368,0.5328947368421053,0.5584935897435896
14,Gaussian NB,0.6052631578947368,0.596314017366649,0.6052631578947368,0.6004058546694875,0.6426282051282051
14,Multinomial NB,0.5921052631578947,0.5779904306220096,0.5921052631578947,0.5842269224463026,0.5448717948717949
14,Bernoulli NB,0.631578947368421,0.5973684210526315,0.631578947368421,0.6078947368421053,0.5488782051282051
