iteration,model_name,accuracy,precision,recall,f1_score,auc_roc
0,LR_L2,0.6052631578947368,0.5968421052631578,0.6052631578947368,0.5993890977443609,0.6028985507246377
0,LR_L1,0.6578947368421053,0.6578947368421053,0.6578947368421053,0.6578947368421053,0.627536231884058
0,LR_ElasticNet,0.5921052631578947,0.5945104697226938,0.5921052631578947,0.5932074827674483,0.5702898550724638
1,LR_L2,0.618421052631579,0.597497842968076,0.618421052631579,0.5815707493031643,0.5753623188405798
1,LR_L1,0.5657894736842105,0.5534571723426213,0.5657894736842105,0.5572436245252306,0.5702898550724638
1,LR_ElasticNet,0.5394736842105263,0.498373301149184,0.5394736842105263,0.5042926465098917,0.5659420289855073
2,LR_L2,0.5789473684210527,0.540140674266311,0.5789473684210527,0.5335814283182705,0.48550724637681164
2,LR_L1,0.618421052631579,0.6056517421527567,0.618421052631579,0.6067126077056564,0.6043478260869565
2,LR_ElasticNet,0.5263157894736842,0.5149797570850202,0.5263157894736842,0.519266917293233,0.472463768115942
3,LR_L2,0.5657894736842105,0.5534571723426213,0.5657894736842105,0.5572436245252306,0.47898550724637684
3,LR_L1,0.5394736842105263,0.5313879937940088,0.5394736842105263,0.5346260387811634,0.48695652173913045
3,LR_ElasticNet,0.5131578947368421,0.5044158014082826,0.5131578947368421,0.5080332409972299,0.4565217391304348
4,LR_L2,0.631578947368421,0.6188197767145136,0.631578947368421,0.6179757085020242,0.6079710144927537
4,LR_L1,0.631578947368421,0.6275845864661654,0.631578947368421,0.6291462331544194,0.6144927536231883
4,LR_ElasticNet,0.5789473684210527,0.5839563397129186,0.5789473684210527,0.581060177325033,0.5963768115942029
5,LR_L2,0.5526315789473685,0.5313662945241893,0.5526315789473685,0.5361133603238867,0.4934782608695652
5,LR_L1,0.5131578947368421,0.5044158014082826,0.5131578947368421,0.5080332409972299,0.5
5,LR_ElasticNet,0.5526315789473685,0.5422672064777327,0.5526315789473685,0.5459743107769424,0.49782608695652164
6,LR_L2,0.5526315789473685,0.5021828765462043,0.5526315789473685,0.5044302675881623,0.5521739130434782
6,LR_L1,0.5394736842105263,0.519904149216355,0.5394736842105263,0.5253428024033784,0.4956521739130434
6,LR_ElasticNet,0.5789473684210527,0.5459429824561404,0.5789473684210527,0.5426795043391909,0.5
7,LR_L2,0.5263157894736842,0.4764254385964913,0.5263157894736842,0.48551444238158975,0.47898550724637684
7,LR_L1,0.5526315789473685,0.5187537810042347,0.5526315789473685,0.5225202429149798,0.48840579710144927
7,LR_ElasticNet,0.5,0.473063973063973,0.5,0.4815384615384615,0.5007246376811594
8,LR_L2,0.618421052631579,0.6087719298245614,0.618421052631579,0.6109110639767178,0.5369565217391304
8,LR_L1,0.5789473684210527,0.5892672858617131,0.5789473684210527,0.5825358851674641,0.5347826086956522
8,LR_ElasticNet,0.5131578947368421,0.5214754645599199,0.5131578947368421,0.5165441694122948,0.5065217391304347
9,LR_L2,0.5657894736842105,0.5484866801951556,0.5657894736842105,0.552466070837471,0.5507246376811593
9,LR_L1,0.5526315789473685,0.5313662945241893,0.5526315789473685,0.5361133603238867,0.4717391304347826
9,LR_ElasticNet,0.5526315789473685,0.5422672064777327,0.5526315789473685,0.5459743107769424,0.5304347826086957
10,LR_L2,0.5263157894736842,0.4642250788260975,0.5263157894736842,0.4752791068580542,0.5036231884057971
10,LR_L1,0.5657894736842105,0.5433356117566643,0.5657894736842105,0.5468227937344818,0.5130434782608695
10,LR_ElasticNet,0.5394736842105263,0.5257997936016511,0.5394736842105263,0.530409904799487,0.4659420289855073
11,LR_L2,0.5394736842105263,0.5135338345864661,0.5394736842105263,0.5193575085062686,0.6115942028985507
11,LR_L1,0.631578947368421,0.6361393540669857,0.631578947368421,0.6334276551594038,0.6152173913043479
11,LR_ElasticNet,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.6289855072463768
12,LR_L2,0.47368421052631576,0.4795903110047847,0.47368421052631576,0.4763252216562913,0.49057971014492757
12,LR_L1,0.4605263157894737,0.46940024479804165,0.4605263157894737,0.46427867421362395,0.508695652173913
12,LR_ElasticNet,0.5131578947368421,0.5269576379974326,0.5131578947368421,0.5178928754246359,0.5
13,LR_L2,0.5526315789473685,0.5187537810042347,0.5526315789473685,0.5225202429149798,0.44637681159420295
13,LR_L1,0.5394736842105263,0.5135338345864661,0.5394736842105263,0.5193575085062686,0.5
13,LR_ElasticNet,0.5263157894736842,0.49483082706766923,0.5263157894736842,0.5021671826625387,0.43260869565217397
14,LR_L2,0.5921052631578947,0.5692520775623268,0.5921052631578947,0.5681019469617178,0.5130434782608695
14,LR_L1,0.618421052631579,0.6123045709511875,0.618421052631579,0.614404432132964,0.5572463768115943
14,LR_ElasticNet,0.5526315789473685,0.5422672064777327,0.5526315789473685,0.5459743107769424,0.4963768115942029
15,LR_L2,0.5657894736842105,0.5250215703192407,0.5657894736842105,0.5238563698967044,0.5565217391304348
15,LR_L1,0.5657894736842105,0.5484866801951556,0.5657894736842105,0.552466070837471,0.5036231884057971
15,LR_ElasticNet,0.5394736842105263,0.5257997936016511,0.5394736842105263,0.530409904799487,0.49782608695652175
16,LR_L2,0.5921052631578947,0.6050797726022373,0.5921052631578947,0.5960724091395598,0.5811594202898551
16,LR_L1,0.6052631578947368,0.6210526315789473,0.6052631578947368,0.6094358517859131,0.6507246376811594
16,LR_ElasticNet,0.5526315789473685,0.581140350877193,0.5526315789473685,0.5573079039061067,0.5949275362318841
17,LR_L2,0.618421052631579,0.597497842968076,0.618421052631579,0.5815707493031643,0.5876811594202898
17,LR_L1,0.618421052631579,0.6056517421527567,0.618421052631579,0.6067126077056564,0.591304347826087
17,LR_ElasticNet,0.5789473684210527,0.5650303643724697,0.5789473684210527,0.5684449218283805,0.567391304347826
18,LR_L2,0.5921052631578947,0.5770692111739562,0.5921052631578947,0.5795893392715638,0.5847826086956521
18,LR_L1,0.6052631578947368,0.6100478468899521,0.6052631578947368,0.6072439162422184,0.5724637681159421
18,LR_ElasticNet,0.5789473684210527,0.5741697994987469,0.5789473684210527,0.5761671236050507,0.5978260869565217
19,LR_L2,0.5526315789473685,0.5422672064777327,0.5526315789473685,0.5459743107769424,0.5246376811594202
19,LR_L1,0.5657894736842105,0.5683267308055084,0.5657894736842105,0.566962804236316,0.5898550724637682
19,LR_ElasticNet,0.5526315789473685,0.5578648325358851,0.5526315789473685,0.5548764384078476,0.5253623188405797
