iteration,model_name,accuracy,precision,recall,f1_score,auc_roc
0,LR_L2,0.6052631578947368,0.5537230172204705,0.6052631578947368,0.5706371191135734,0.5440705128205128
0,LR_L1,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.483173076923077
0,LR_ElasticNet,0.5789473684210527,0.5590225563909774,0.5789473684210527,0.5676058833953571,0.5072115384615384
1,LR_L2,0.618421052631579,0.529719821942917,0.618421052631579,0.5557476579148406,0.4759615384615385
1,LR_L1,0.5526315789473685,0.5184513006654567,0.5526315789473685,0.5328776486671224,0.4703525641025641
1,LR_ElasticNet,0.6447368421052632,0.575019638648861,0.6447368421052632,0.5863857504724377,0.4935897435897436
2,LR_L2,0.6447368421052632,0.5562820093712543,0.6447368421052632,0.5722824790582159,0.4375
2,LR_L1,0.618421052631579,0.5763589301121657,0.618421052631579,0.5895883343484648,0.43990384615384615
2,LR_ElasticNet,0.6052631578947368,0.5386513157894737,0.6052631578947368,0.55989110707804,0.4519230769230769
3,LR_L2,0.618421052631579,0.5012531328320802,0.618421052631579,0.540599699729195,0.5040064102564104
3,LR_L1,0.618421052631579,0.5964912280701754,0.618421052631579,0.6049880408296183,0.5136217948717949
3,LR_ElasticNet,0.631578947368421,0.5973684210526315,0.631578947368421,0.6078947368421053,0.5584935897435898
4,LR_L2,0.618421052631579,0.5012531328320802,0.618421052631579,0.540599699729195,0.5705128205128205
4,LR_L1,0.6578947368421053,0.6126644736842105,0.6578947368421053,0.6185722928009679,0.5881410256410257
4,LR_ElasticNet,0.6447368421052632,0.5885167464114832,0.6447368421052632,0.5984962406015037,0.5889423076923077
5,LR_L2,0.5657894736842105,0.4708133971291866,0.5657894736842105,0.5092731829573935,0.43108974358974356
5,LR_L1,0.618421052631579,0.5763589301121657,0.618421052631579,0.5895883343484648,0.4639423076923077
5,LR_ElasticNet,0.5394736842105263,0.47955133735979305,0.5394736842105263,0.5046755759378022,0.4046474358974359
6,LR_L2,0.6447368421052632,0.575019638648861,0.6447368421052632,0.5863857504724377,0.5480769230769231
6,LR_L1,0.6052631578947368,0.5662280701754385,0.6052631578947368,0.5798872180451128,0.49839743589743596
6,LR_ElasticNet,0.5789473684210527,0.5201309725927722,0.5789473684210527,0.5420129270544782,0.4951923076923077
7,LR_L2,0.6710526315789473,0.6113108859104281,0.6710526315789473,0.6039652583872371,0.5520833333333334
7,LR_L1,0.6710526315789473,0.6408973252804142,0.6710526315789473,0.646196839955573,0.5673076923076923
7,LR_ElasticNet,0.631578947368421,0.5756578947368421,0.631578947368421,0.5892316999395039,0.6065705128205128
8,LR_L2,0.618421052631579,0.529719821942917,0.618421052631579,0.5557476579148406,0.4078525641025641
8,LR_L1,0.6447368421052632,0.5993188098451256,0.6447368421052632,0.6089183004514812,0.4583333333333333
8,LR_ElasticNet,0.631578947368421,0.5873150618481688,0.631578947368421,0.5992613111726686,0.4375
9,LR_L2,0.618421052631579,0.4529280948851001,0.618421052631579,0.5228925973470261,0.4591346153846154
9,LR_L1,0.5789473684210527,0.5692893850788588,0.5789473684210527,0.5737662449807867,0.4879807692307692
9,LR_ElasticNet,0.5789473684210527,0.5350877192982456,0.5789473684210527,0.5518796992481204,0.4358974358974359
10,LR_L2,0.6710526315789473,0.6113108859104281,0.6710526315789473,0.6039652583872371,0.5096153846153846
10,LR_L1,0.6578947368421053,0.6285087719298246,0.6578947368421053,0.6359022556390977,0.5921474358974359
10,LR_ElasticNet,0.6973684210526315,0.6731665228645384,0.6973684210526315,0.6745010927591273,0.5272435897435898
11,LR_L2,0.631578947368421,0.561244019138756,0.631578947368421,0.5775830403526263,0.5256410256410255
11,LR_L1,0.5921052631578947,0.5290148448043185,0.5921052631578947,0.5509802708887378,0.45833333333333337
11,LR_ElasticNet,0.5789473684210527,0.5350877192982456,0.5789473684210527,0.5518796992481204,0.49439102564102566
12,LR_L2,0.618421052631579,0.529719821942917,0.618421052631579,0.5557476579148406,0.5961538461538461
12,LR_L1,0.6842105263157895,0.6596491228070175,0.6842105263157895,0.6639097744360902,0.6290064102564102
12,LR_ElasticNet,0.6578947368421053,0.6209071064758671,0.6578947368421053,0.6278855032317636,0.6001602564102564
13,LR_L2,0.6842105263157895,0.6368421052631579,0.6842105263157895,0.612769628990509,0.5592948717948718
13,LR_L1,0.5789473684210527,0.5201309725927722,0.5789473684210527,0.5420129270544782,0.5
13,LR_ElasticNet,0.5921052631578947,0.5100478468899522,0.5921052631578947,0.539014202172097,0.5168269230769231
14,LR_L2,0.6578947368421053,0.6126644736842105,0.6578947368421053,0.6185722928009679,0.5721153846153846
14,LR_L1,0.5657894736842105,0.5505126452494874,0.5657894736842105,0.5574028529267093,0.4439102564102564
