iteration,model_name,accuracy,precision,recall,f1_score,auc_roc,best_iteration,training_time,prediction_time
0,LightGBM_Default,0.5789473684210527,0.5974310776942356,0.5789473684210527,0.5867206477732794,0.5016025641025641,6,0.0784609317779541,0.0016071796417236328
0,LightGBM_Fast,0.5526315789473685,0.5624291497975709,0.5526315789473685,0.5571929824561404,0.5080128205128204,4,0.05319809913635254,0.0014469623565673828
0,LightGBM_Accurate,0.5921052631578947,0.6056808688387637,0.5921052631578947,0.5980443245562946,0.4967948717948718,26,0.14241623878479004,0.0016369819641113281
1,LightGBM_Default,0.631578947368421,0.639919028340081,0.631578947368421,0.6353353973168215,0.5993589743589743,4,0.07259321212768555,0.001676797866821289
1,LightGBM_Fast,0.5657894736842105,0.617935081606455,0.5657894736842105,0.5805876089896693,0.5881410256410257,1,0.04658699035644531,0.001497030258178711
1,LightGBM_Accurate,0.631578947368421,0.639919028340081,0.631578947368421,0.6353353973168215,0.5817307692307692,6,0.08961200714111328,0.0016210079193115234
2,LightGBM_Default,0.5263157894736842,0.5365991902834008,0.5263157894736842,0.5311455108359133,0.45472756410256415,5,0.06779193878173828,0.0016391277313232422
2,LightGBM_Fast,0.5921052631578947,0.5874962220974914,0.5921052631578947,0.5897083133365328,0.500400641025641,5,0.04787421226501465,0.0013828277587890625
2,LightGBM_Accurate,0.5789473684210527,0.5882591093117409,0.5789473684210527,0.5832404540763674,0.5200320512820513,19,0.12141728401184082,0.0016357898712158203
3,LightGBM_Default,0.5921052631578947,0.6239954725523486,0.5921052631578947,0.6033443496275834,0.5737179487179487,3,0.07656097412109375,0.0016980171203613281
3,LightGBM_Fast,0.631578947368421,0.6668660287081339,0.631578947368421,0.6425438596491229,0.6322115384615384,2,0.051345109939575195,0.0016968250274658203
3,LightGBM_Accurate,0.5526315789473685,0.5812356979405034,0.5526315789473685,0.5637904284520825,0.5685096153846154,3,0.08144116401672363,0.0016350746154785156
4,LightGBM_Default,0.5921052631578947,0.6239954725523486,0.5921052631578947,0.6033443496275834,0.5965544871794872,2,0.06128811836242676,0.0016031265258789062
4,LightGBM_Fast,0.5789473684210527,0.6160287081339714,0.5789473684210527,0.5914786967418546,0.5044070512820512,1,0.03940391540527344,0.0015788078308105469
4,LightGBM_Accurate,0.5263157894736842,0.6046783625730994,0.5263157894736842,0.542464114832536,0.546073717948718,1,0.07204508781433105,0.0014569759368896484
5,LightGBM_Default,0.618421052631579,0.5763589301121657,0.618421052631579,0.5895883343484648,0.4591346153846154,22,0.11875510215759277,0.0016949176788330078
5,LightGBM_Fast,0.5657894736842105,0.5706088751289989,0.5657894736842105,0.5681123752515825,0.5568910256410257,4,0.054769039154052734,0.001519918441772461
5,LightGBM_Accurate,0.5921052631578947,0.5779904306220096,0.5921052631578947,0.5842269224463026,0.4535256410256411,46,0.19701790809631348,0.0016582012176513672
6,LightGBM_Default,0.5789473684210527,0.5692893850788588,0.5789473684210527,0.5737662449807867,0.5801282051282052,11,0.08713722229003906,0.0013599395751953125
6,LightGBM_Fast,0.6447368421052632,0.6407754414748931,0.6447368421052632,0.6426491761318189,0.6274038461538461,12,0.06748104095458984,0.001711130142211914
6,LightGBM_Accurate,0.6052631578947368,0.6513342178976854,0.6052631578947368,0.6182955554697456,0.6346153846153846,1,0.07220101356506348,0.0017189979553222656
7,LightGBM_Default,0.5263157894736842,0.5558352402745995,0.5263157894736842,0.5381310418904404,0.43068910256410253,1,0.06122398376464844,0.0014829635620117188
7,LightGBM_Fast,0.5657894736842105,0.5608566124087906,0.5657894736842105,0.5632378819388898,0.4198717948717949,4,0.049797773361206055,0.0017321109771728516
7,LightGBM_Accurate,0.5657894736842105,0.5706088751289989,0.5657894736842105,0.5681123752515825,0.4467147435897435,4,0.07915687561035156,0.0016200542449951172
8,LightGBM_Default,0.5526315789473685,0.6100877192982456,0.5526315789473685,0.5681922196796338,0.5572916666666667,2,0.0656590461730957,0.0015251636505126953
8,LightGBM_Fast,0.5,0.5882352941176471,0.5,0.5158562367864693,0.5544871794871795,2,0.04808497428894043,0.0017132759094238281
8,LightGBM_Accurate,0.6052631578947368,0.6229636591478697,0.6052631578947368,0.6125506072874494,0.5833333333333334,16,0.1179051399230957,0.0015227794647216797
9,LightGBM_Default,0.631578947368421,0.5756578947368421,0.631578947368421,0.5892316999395039,0.5248397435897436,30,0.13700294494628906,0.0015842914581298828
9,LightGBM_Fast,0.6842105263157895,0.6915789473684211,0.6842105263157895,0.6874303405572756,0.6426282051282052,4,0.05331921577453613,0.0014767646789550781
9,LightGBM_Accurate,0.631578947368421,0.561244019138756,0.631578947368421,0.5775830403526263,0.5032051282051282,82,0.27953505516052246,0.0017240047454833984
10,LightGBM_Default,0.5263157894736842,0.5030075187969925,0.5263157894736842,0.5135566188197768,0.37580128205128205,24,0.12392592430114746,0.0016582012176513672
10,LightGBM_Fast,0.5263157894736842,0.5030075187969925,0.5263157894736842,0.5135566188197768,0.39503205128205127,8,0.05813908576965332,0.0015430450439453125
10,LightGBM_Accurate,0.618421052631579,0.5964912280701754,0.618421052631579,0.6049880408296183,0.4350961538461539,56,0.2293548583984375,0.0016582012176513672
11,LightGBM_Default,0.5131578947368421,0.5287027091538369,0.5131578947368421,0.520246451889771,0.546474358974359,7,0.07409095764160156,0.0014641284942626953
11,LightGBM_Fast,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5232371794871795,10,0.06166887283325195,0.0015001296997070312
11,LightGBM_Accurate,0.5263157894736842,0.5365991902834008,0.5263157894736842,0.5311455108359133,0.46314102564102566,23,0.1282808780670166,0.001661062240600586
12,LightGBM_Default,0.6052631578947368,0.5771324863883848,0.6052631578947368,0.5878332194121668,0.5040064102564104,13,0.09452009201049805,0.0014929771423339844
12,LightGBM_Fast,0.5789473684210527,0.5974310776942356,0.5789473684210527,0.5867206477732794,0.47395833333333337,3,0.05097389221191406,0.001577138900756836
12,LightGBM_Accurate,0.618421052631579,0.5869234402056986,0.618421052631579,0.5978790086620639,0.47115384615384615,19,0.12423205375671387,0.0015790462493896484
13,LightGBM_Default,0.5921052631578947,0.5440897325280414,0.5921052631578947,0.5612840815449107,0.4903846153846154,18,0.09999513626098633,0.0016770362854003906
13,LightGBM_Fast,0.5,0.5304347826086956,0.5,0.5124716553287981,0.41746794871794873,1,0.043144941329956055,0.001728057861328125
13,LightGBM_Accurate,0.6447368421052632,0.5993188098451256,0.6447368421052632,0.6089183004514812,0.5544871794871795,42,0.16431689262390137,0.0016770362854003906
14,LightGBM_Default,0.5,0.5397727272727273,0.5,0.5148809523809523,0.484775641025641,9,0.08607625961303711,0.0015490055084228516
14,LightGBM_Fast,0.47368421052631576,0.5508771929824561,0.47368421052631576,0.49162679425837313,0.42307692307692313,1,0.04499197006225586,0.0016121864318847656
14,LightGBM_Accurate,0.47368421052631576,0.5508771929824561,0.47368421052631576,0.49162679425837313,0.42748397435897434,1,0.07613921165466309,0.0015947818756103516
15,LightGBM_Default,0.5789473684210527,0.5350877192982456,0.5789473684210527,0.5518796992481204,0.43910256410256415,25,0.12828636169433594,0.0016739368438720703
