feature,stability_percentage,avg_coefficient_magnitude
RNU4ATAC18P,100.0,0.015673408595463612
LGALS7B,100.0,0.014220054914892453
SND1-DT,100.0,0.008403489566965119
SEMA6A-AS1,100.0,0.005291853475859291
HROB,100.0,0.004897067611844828
JPT1,100.0,0.0032291615835725596
FRMD4A,100.0,0.0028149040299643036
TBC1D28,100.0,0.0018861826931229966
CBLL2,100.0,0.001515350971284116
MARCHF3,100.0,0.0006608712914499762
ARG2,100.0,0.0003306793607117822
MOCOS,100.0,0.00014572484886497266
CD55,100.0,0.0
GABARAPL1,100.0,0.0
TGIF1,100.0,0.0
DCTPP1,100.0,0.0
RTN3,100.0,0.0
LINC00882,100.0,0.0
HPSE,100.0,0.0
SDCBP2,100.0,0.0
