iteration,model_name,mse,mae,r2_score,rmse,accuracy,precision,recall,f1_score,auc_roc
0,Linear_Regression,0.30606919137236455,0.4779529969580992,-0.41655100109517473,0.5532352043863121,0.5526315789473685,0.5310150375939849,0.5526315789473685,0.5405812511075669,0.4887820512820513
0,Ridge,0.3056726930649031,0.47772520415938746,-0.41471592559525683,0.5528767431036533,0.5526315789473685,0.5310150375939849,0.5526315789473685,0.5405812511075669,0.4887820512820513
0,Lasso,0.21578229973666763,0.4307043924808712,0.001315253782858572,0.46452373430931126,0.6842105263157895,0.46814404432132967,0.6842105263157895,0.555921052631579,0.5232371794871795
0,ElasticNet,0.24870912113394258,0.4542463187770527,-0.15107682986350368,0.49870745044960235,0.5526315789473685,0.43540669856459335,0.5526315789473685,0.4870651204281891,0.48397435897435903
0,Huber,0.3060711146609198,0.47796136902134284,-0.4165599024691289,0.553236942603185,0.5526315789473685,0.5310150375939849,0.5526315789473685,0.5405812511075669,0.4887820512820513
0,Bayesian_Ridge,0.30606407142156583,0.477950058828891,-0.4165273049126319,0.5532305770847864,0.5526315789473685,0.5310150375939849,0.5526315789473685,0.5405812511075669,0.4887820512820513
1,Linear_Regression,0.27672524921054104,0.4531485471164603,-0.2807412175000681,0.5260468127558051,0.5921052631578947,0.5567508002308862,0.5921052631578947,0.5701465265008269,0.4775641025641026
1,Ridge,0.27670490429720634,0.45316130940769805,-0.28064705706783943,0.5260274748501321,0.5921052631578947,0.5567508002308862,0.5921052631578947,0.5701465265008269,0.4775641025641026
1,Lasso,0.21597068252300394,0.4307182788354959,0.0004433796050715699,0.4647264598911966,0.6842105263157895,0.46814404432132967,0.6842105263157895,0.555921052631579,0.5152243589743589
1,ElasticNet,0.2281775044993953,0.42762389997139255,-0.056052296465149976,0.477679290423392,0.6842105263157895,0.6330409356725145,0.6842105263157895,0.5968954644676207,0.47916666666666663
1,Huber,0.27676437599355097,0.4531796716715048,-0.2809223042778448,0.5260840008910659,0.5921052631578947,0.5567508002308862,0.5921052631578947,0.5701465265008269,0.4775641025641026
1,Bayesian_Ridge,0.2767249319547971,0.45314874427300755,-0.2807397491754071,0.5260465112086545,0.5921052631578947,0.5567508002308862,0.5921052631578947,0.5701465265008269,0.4775641025641026
2,Linear_Regression,0.2785113721767737,0.45589031505346067,-0.289007760971991,0.5277417665646463,0.631578947368421,0.5756578947368421,0.631578947368421,0.5892316999395039,0.43509615384615385
2,Ridge,0.27804845769694425,0.45568921385021915,-0.2868652978025239,0.527303003686632,0.631578947368421,0.5756578947368421,0.631578947368421,0.5892316999395039,0.4358974358974359
2,Lasso,0.22391965353798504,0.43895548799433554,-0.0363460888104179,0.47320149359230157,0.6842105263157895,0.46814404432132967,0.6842105263157895,0.555921052631579,0.34615384615384615
2,ElasticNet,0.2511200307370745,0.4556058079961482,-0.16223501405235763,0.501118779070466,0.631578947368421,0.45614035087719296,0.631578947368421,0.5297113752122241,0.421474358974359
2,Huber,0.2786502804130505,0.4560434290633362,-0.28965065678347734,0.5278733564152016,0.631578947368421,0.5756578947368421,0.631578947368421,0.5892316999395039,0.43509615384615385
2,Bayesian_Ridge,0.2785075801064762,0.45588867365496044,-0.2889902104927937,0.5277381738196283,0.631578947368421,0.5756578947368421,0.631578947368421,0.5892316999395039,0.43509615384615385
3,Linear_Regression,0.22544653826339292,0.4213828782274652,-0.04341282452672868,0.474812108379086,0.6973684210526315,0.6669856459330143,0.6973684210526315,0.6579782790309107,0.5649038461538461
3,Ridge,0.22543300721498502,0.4214718965808448,-0.04335020005909729,0.47479785932013746,0.6973684210526315,0.6669856459330143,0.6973684210526315,0.6579782790309107,0.5649038461538461
3,Lasso,0.21601344962072433,0.4306654045512529,0.0002454447040836083,0.46477247080773226,0.6842105263157895,0.46814404432132967,0.6842105263157895,0.555921052631579,0.5072115384615384
3,ElasticNet,0.2338808077003482,0.4418412177675732,-0.0824483535875089,0.4836122493282694,0.6710526315789473,0.5985174203113417,0.6710526315789473,0.5887005149543328,0.42628205128205127
3,Huber,0.2254502274895667,0.4213883846668585,-0.04342989902222527,0.47481599329589425,0.6973684210526315,0.6669856459330143,0.6973684210526315,0.6579782790309107,0.5649038461538461
3,Bayesian_Ridge,0.22544634282033876,0.4213841810812421,-0.0434119199761831,0.47481190256809985,0.6973684210526315,0.6669856459330143,0.6973684210526315,0.6579782790309107,0.5649038461538461
4,Linear_Regression,0.23438660757637195,0.4178986676326349,-0.08478929916756717,0.4841349063808268,0.631578947368421,0.6150375939849625,0.631578947368421,0.6216551479709375,0.6306089743589743
4,Ridge,0.2341263917278578,0.4178236233949319,-0.08358496684303396,0.48386608863182157,0.631578947368421,0.6150375939849625,0.631578947368421,0.6216551479709375,0.6306089743589743
4,Lasso,0.21607710890602275,0.43056427348139126,-4.918352659211145e-05,0.46484095011737375,0.6842105263157895,0.46814404432132967,0.6842105263157895,0.555921052631579,0.515224358974359
4,ElasticNet,0.22350485918422633,0.42570196087686385,-0.03442633545520102,0.47276300530416543,0.631578947368421,0.45614035087719296,0.631578947368421,0.5297113752122241,0.5432692307692308
4,Huber,0.23441478042979572,0.4178817072707455,-0.08491968891225943,0.484164001583963,0.631578947368421,0.6150375939849625,0.631578947368421,0.6216551479709375,0.6306089743589743
4,Bayesian_Ridge,0.23438403986614748,0.41789793342172343,-0.08477741527793858,0.48413225451951397,0.631578947368421,0.6150375939849625,0.631578947368421,0.6216551479709375,0.6306089743589743
