iteration,model_name,accuracy,precision,recall,f1_score,auc_roc,k_neighbors,distance_metric,prediction_confidence
0,KNN_k5_euclidean,0.6842105263157895,0.46814404432132967,0.6842105263157895,0.555921052631579,0.3978365384615385,5,euclidean,0.9447368421052631
0,KNN_k5_manhattan,0.6842105263157895,0.46814404432132967,0.6842105263157895,0.555921052631579,0.42788461538461536,5,manhattan,0.8947368421052632
0,KNN_k5_weighted,0.6842105263157895,0.46814404432132967,0.6842105263157895,0.555921052631579,0.40184294871794873,5,euclidean,0.9449431519005876
0,KNN_adaptive,0.6842105263157895,0.46814404432132967,0.6842105263157895,0.555921052631579,0.4411057692307692,11,euclidean,0.9275032187396888
0,KNN_cosine,0.631578947368421,0.561244019138756,0.631578947368421,0.5775830403526263,0.5048076923076923,5,cosine,0.813697587582749
1,KNN_k5_euclidean,0.6842105263157895,0.46814404432132967,0.6842105263157895,0.555921052631579,0.46314102564102566,5,euclidean,0.981578947368421
1,KNN_k5_manhattan,0.6842105263157895,0.46814404432132967,0.6842105263157895,0.555921052631579,0.5368589743589743,5,manhattan,0.9684210526315788
1,KNN_k5_weighted,0.6842105263157895,0.46814404432132967,0.6842105263157895,0.555921052631579,0.4623397435897436,5,euclidean,0.9814161064595792
1,KNN_adaptive,0.6842105263157895,0.46814404432132967,0.6842105263157895,0.555921052631579,0.5048076923076923,11,euclidean,0.9796267256747557
1,KNN_cosine,0.6973684210526315,0.6656192720607489,0.6973684210526315,0.6476619355876322,0.5352564102564104,5,cosine,0.8419600999735138
2,KNN_k5_euclidean,0.6842105263157895,0.46814404432132967,0.6842105263157895,0.555921052631579,0.515625,5,euclidean,0.8999999999999999
2,KNN_k5_manhattan,0.6710526315789473,0.5985174203113417,0.6710526315789473,0.5887005149543328,0.5040064102564101,5,manhattan,0.7999999999999998
2,KNN_k5_weighted,0.6842105263157895,0.46814404432132967,0.6842105263157895,0.555921052631579,0.5136217948717949,5,euclidean,0.9003072580851244
2,KNN_adaptive,0.6842105263157895,0.46814404432132967,0.6842105263157895,0.555921052631579,0.5016025641025641,11,euclidean,0.8679037251716265
2,KNN_cosine,0.6578947368421053,0.6031897926634769,0.6578947368421053,0.6077556803274388,0.46474358974358976,5,cosine,0.8078203039005842
3,KNN_k5_euclidean,0.6842105263157895,0.6294452347083926,0.6842105263157895,0.5781762097551572,0.5705128205128205,5,euclidean,0.8894736842105262
3,KNN_k5_manhattan,0.6973684210526315,0.6713120830244625,0.6973684210526315,0.6216044737579862,0.5556891025641026,5,manhattan,0.813157894736842
3,KNN_k5_weighted,0.6842105263157895,0.6294452347083926,0.6842105263157895,0.5781762097551572,0.5641025641025641,5,euclidean,0.8885462160176686
3,KNN_adaptive,0.6842105263157895,0.46814404432132967,0.6842105263157895,0.555921052631579,0.5753205128205128,11,euclidean,0.8860099793501143
3,KNN_cosine,0.6842105263157895,0.649671052631579,0.6842105263157895,0.6479128856624319,0.5012019230769231,5,cosine,0.8166498096017227
4,KNN_k5_euclidean,0.6710526315789473,0.5739005046863734,0.6710526315789473,0.5707602339181287,0.514823717948718,5,euclidean,0.8605263157894736
4,KNN_k5_manhattan,0.631578947368421,0.541795665634675,0.631578947368421,0.5640350877192982,0.5088141025641025,5,manhattan,0.7921052631578945
4,KNN_k5_weighted,0.6710526315789473,0.5739005046863734,0.6710526315789473,0.5707602339181287,0.5280448717948718,5,euclidean,0.8610561126317361
4,KNN_adaptive,0.6710526315789473,0.4652631578947368,0.6710526315789473,0.5495234148363034,0.4971955128205129,11,euclidean,0.8378994347856686
4,KNN_cosine,0.6578947368421053,0.6126644736842105,0.6578947368421053,0.6185722928009679,0.4983974358974359,5,cosine,0.8096696966804956
5,KNN_k5_euclidean,0.6578947368421053,0.46230440967283076,0.6578947368421053,0.5430242272347535,0.4110576923076923,5,euclidean,0.863157894736842
5,KNN_k5_manhattan,0.631578947368421,0.541795665634675,0.631578947368421,0.5640350877192982,0.4659455128205128,5,manhattan,0.8157894736842103
5,KNN_k5_weighted,0.6578947368421053,0.46230440967283076,0.6578947368421053,0.5430242272347535,0.41626602564102566,5,euclidean,0.8635604118407612
5,KNN_adaptive,0.6710526315789473,0.4652631578947368,0.6710526315789473,0.5495234148363034,0.4623397435897436,11,euclidean,0.8611020906130165
5,KNN_cosine,0.5921052631578947,0.5290148448043185,0.5921052631578947,0.5509802708887378,0.5416666666666666,5,cosine,0.8028466627380403
6,KNN_k5_euclidean,0.6842105263157895,0.46814404432132967,0.6842105263157895,0.555921052631579,0.5564903846153847,5,euclidean,0.9552631578947368
6,KNN_k5_manhattan,0.6842105263157895,0.46814404432132967,0.6842105263157895,0.555921052631579,0.6121794871794872,5,manhattan,0.8921052631578945
6,KNN_k5_weighted,0.6842105263157895,0.46814404432132967,0.6842105263157895,0.555921052631579,0.5428685897435898,5,euclidean,0.9551322230141878
6,KNN_adaptive,0.6842105263157895,0.46814404432132967,0.6842105263157895,0.555921052631579,0.5372596153846153,11,euclidean,0.9555180822953653
6,KNN_cosine,0.6447368421052632,0.5562820093712543,0.6447368421052632,0.5722824790582159,0.5360576923076923,5,cosine,0.83012677912885
7,KNN_k5_euclidean,0.6842105263157895,0.46814404432132967,0.6842105263157895,0.555921052631579,0.5176282051282051,5,euclidean,0.963157894736842
