iteration,model_name,accuracy,precision,recall,f1_score,auc_roc,k_neighbors,distance_metric,prediction_confidence
8,KNN_adaptive,0.5657894736842105,0.5632891840753755,0.5657894736842105,0.5644441886564415,0.5710144927536231,11,euclidean,0.6914972509255751
8,KNN_cosine,0.5921052631578947,0.5853323785654613,0.5921052631578947,0.5878116343490305,0.5789855072463768,5,cosine,0.7564242157535748
9,KNN_k5_euclidean,0.5,0.48076923076923067,0.5,0.4875283446712018,0.49855072463768113,5,euclidean,0.7078947368421051
9,KNN_k5_manhattan,0.5394736842105263,0.5475130744408591,0.5394736842105263,0.5426769170116302,0.513768115942029,5,manhattan,0.7026315789473683
9,KNN_k5_weighted,0.5,0.48076923076923067,0.5,0.4875283446712018,0.5152173913043478,5,euclidean,0.7082661591375063
9,KNN_adaptive,0.5131578947368421,0.5044158014082826,0.5131578947368421,0.5080332409972299,0.527536231884058,11,euclidean,0.6597619138818726
9,KNN_cosine,0.631578947368421,0.6158499697519662,0.631578947368421,0.6067813765182186,0.663768115942029,5,cosine,0.7505576866155435
10,KNN_k5_euclidean,0.5,0.48076923076923067,0.5,0.4875283446712018,0.4398550724637681,5,euclidean,0.744736842105263
10,KNN_k5_manhattan,0.4868421052631579,0.4774436090225564,0.4868421052631579,0.4814404432132964,0.41702898550724643,5,manhattan,0.731578947368421
10,KNN_k5_weighted,0.5,0.48076923076923067,0.5,0.4875283446712018,0.4467391304347825,5,euclidean,0.7443604174591625
10,KNN_adaptive,0.5789473684210527,0.5333059210526315,0.5789473684210527,0.5231715652768285,0.48079710144927534,11,euclidean,0.6890242407659094
10,KNN_cosine,0.5526315789473685,0.5369433198380567,0.5526315789473685,0.5414727294426541,0.521376811594203,5,cosine,0.7570523893268319
11,KNN_k5_euclidean,0.6052631578947368,0.5931174089068826,0.6052631578947368,0.5954171142141067,0.6072463768115942,5,euclidean,0.7078947368421051
11,KNN_k5_manhattan,0.5526315789473685,0.5578648325358851,0.5526315789473685,0.5548764384078476,0.6028985507246376,5,manhattan,0.6973684210526315
11,KNN_k5_weighted,0.6052631578947368,0.5931174089068826,0.6052631578947368,0.5954171142141067,0.5978260869565217,5,euclidean,0.7073324691104317
11,KNN_adaptive,0.5657894736842105,0.5318518129821064,0.5657894736842105,0.5326187809950408,0.6463768115942029,11,euclidean,0.6614469355057104
11,KNN_cosine,0.618421052631579,0.597497842968076,0.618421052631579,0.5815707493031643,0.5728260869565217,5,cosine,0.7760844288504399
12,KNN_k5_euclidean,0.5263157894736842,0.5317733253588517,0.5263157894736842,0.5286926994906621,0.5496376811594202,5,euclidean,0.6684210526315789
12,KNN_k5_manhattan,0.5263157894736842,0.5484764542936288,0.5263157894736842,0.5316231755860239,0.5471014492753624,5,manhattan,0.6868421052631578
12,KNN_k5_weighted,0.5263157894736842,0.5317733253588517,0.5263157894736842,0.5286926994906621,0.5514492753623188,5,euclidean,0.6684753685117343
12,KNN_adaptive,0.5657894736842105,0.5378578024007387,0.5657894736842105,0.5402375564431189,0.5333333333333333,11,euclidean,0.6215257894965368
12,KNN_cosine,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5130434782608696,5,cosine,0.6954408769213105
13,KNN_k5_euclidean,0.5394736842105263,0.5313879937940088,0.5394736842105263,0.5346260387811634,0.5271739130434783,5,euclidean,0.7342105263157895
13,KNN_k5_manhattan,0.5657894736842105,0.5632891840753755,0.5657894736842105,0.5644441886564415,0.5449275362318841,5,manhattan,0.6973684210526315
13,KNN_k5_weighted,0.5394736842105263,0.5313879937940088,0.5394736842105263,0.5346260387811634,0.4992753623188405,5,euclidean,0.7338917616015015
13,KNN_adaptive,0.5921052631578947,0.5692520775623268,0.5921052631578947,0.5681019469617178,0.6076086956521739,11,euclidean,0.6493521114500063
13,KNN_cosine,0.5921052631578947,0.5770692111739562,0.5921052631578947,0.5795893392715638,0.5264492753623188,5,cosine,0.7766639805574679
14,KNN_k5_euclidean,0.5789473684210527,0.5459429824561404,0.5789473684210527,0.5426795043391909,0.4695652173913043,5,euclidean,0.7815789473684209
14,KNN_k5_manhattan,0.5526315789473685,0.5369433198380567,0.5526315789473685,0.5414727294426541,0.4822463768115942,5,manhattan,0.7526315789473683
14,KNN_k5_weighted,0.5789473684210527,0.5459429824561404,0.5789473684210527,0.5426795043391909,0.46123188405797105,5,euclidean,0.7816302276970998
14,KNN_adaptive,0.6447368421052632,0.6422892896577107,0.6447368421052632,0.5928251743399369,0.4949275362318841,11,euclidean,0.6922657385034369
14,KNN_cosine,0.5263157894736842,0.5022151337940812,0.5263157894736842,0.5088259109311741,0.5391304347826087,5,cosine,0.7852826814417999
15,KNN_k5_euclidean,0.5131578947368421,0.46489478931626177,0.5131578947368421,0.4759665120247427,0.5108695652173914,5,euclidean,0.7499999999999999
15,KNN_k5_manhattan,0.4605263157894737,0.4341565562799534,0.4605263157894737,0.4439729971011004,0.4333333333333334,5,manhattan,0.7078947368421051
15,KNN_k5_weighted,0.5131578947368421,0.46489478931626177,0.5131578947368421,0.4759665120247427,0.486231884057971,5,euclidean,0.7499988492420455
15,KNN_adaptive,0.618421052631579,0.597497842968076,0.618421052631579,0.5815707493031643,0.5492753623188407,11,euclidean,0.6711830819760339
15,KNN_cosine,0.5394736842105263,0.5064635272391506,0.5394736842105263,0.5123731659245201,0.5358695652173913,5,cosine,0.7558899985974774
16,KNN_k5_euclidean,0.5394736842105263,0.5367996293006913,0.5394736842105263,0.538046866756832,0.5532608695652175,5,euclidean,0.7210526315789473
16,KNN_k5_manhattan,0.5263157894736842,0.5544590643274854,0.5263157894736842,0.5312671923711719,0.5445652173913044,5,manhattan,0.7131578947368421
16,KNN_k5_weighted,0.5394736842105263,0.5367996293006913,0.5394736842105263,0.538046866756832,0.5608695652173913,5,euclidean,0.7210564913809453
16,KNN_adaptive,0.5526315789473685,0.5632463511720477,0.5526315789473685,0.5564443779904306,0.5456521739130434,11,euclidean,0.6538694018530743
16,KNN_cosine,0.5131578947368421,0.5159592529711375,0.5131578947368421,0.5144734471740511,0.5333333333333334,5,cosine,0.7684693051759105
17,KNN_k5_euclidean,0.5263157894736842,0.49483082706766923,0.5263157894736842,0.5021671826625387,0.4485507246376812,5,euclidean,0.7078947368421052
17,KNN_k5_manhattan,0.5394736842105263,0.5313879937940088,0.5394736842105263,0.5346260387811634,0.5231884057971014,5,manhattan,0.7131578947368421
17,KNN_k5_weighted,0.5263157894736842,0.49483082706766923,0.5263157894736842,0.5021671826625387,0.44130434782608696,5,euclidean,0.7081352060320784
17,KNN_adaptive,0.618421052631579,0.6119347664936989,0.618421052631579,0.5229098386993124,0.5202898550724637,11,euclidean,0.6823184076602858
17,KNN_cosine,0.5921052631578947,0.5770692111739562,0.5921052631578947,0.5795893392715638,0.5557971014492754,5,cosine,0.7721616779705909
18,KNN_k5_euclidean,0.5657894736842105,0.5250215703192407,0.5657894736842105,0.5238563698967044,0.5340579710144928,5,euclidean,0.7684210526315788
18,KNN_k5_manhattan,0.5657894736842105,0.5378578024007387,0.5657894736842105,0.5402375564431189,0.5384057971014492,5,manhattan,0.744736842105263
18,KNN_k5_weighted,0.5657894736842105,0.5250215703192407,0.5657894736842105,0.5238563698967044,0.5391304347826087,5,euclidean,0.7682990989175467
18,KNN_adaptive,0.6052631578947368,0.5672514619883041,0.6052631578947368,0.49782232250616576,0.5271739130434784,11,euclidean,0.7311541565332617
18,KNN_cosine,0.5789473684210527,0.555921052631579,0.5789473684210527,0.5574819401444788,0.4826086956521739,5,cosine,0.7707874972395071
19,KNN_k5_euclidean,0.5526315789473685,0.5187537810042347,0.5526315789473685,0.5225202429149798,0.5083333333333333,5,euclidean,0.7157894736842105
19,KNN_k5_manhattan,0.4868421052631579,0.4774436090225564,0.4868421052631579,0.4814404432132964,0.44528985507246377,5,manhattan,0.7
19,KNN_k5_weighted,0.5526315789473685,0.5187537810042347,0.5526315789473685,0.5225202429149798,0.5181159420289855,5,euclidean,0.7157372465005851
19,KNN_adaptive,0.5394736842105263,0.5135338345864661,0.5394736842105263,0.5193575085062686,0.5115942028985507,11,euclidean,0.6805451289493432
19,KNN_cosine,0.5921052631578947,0.5945104697226938,0.5921052631578947,0.5932074827674483,0.5768115942028986,5,cosine,0.7414467658879557
