Model,Mean AUC (Top 10),Max AUC,Min AUC (Top 10),Std AUC (Top 10),Mean Accuracy (Top 10),Mean F1 (Top 10)
Random Forest,0.673768115942029,0.7065217391304347,0.6445652173913043,0.01962119980314298,0.6342105263157894,0.5885999910349721
LightGBM,0.667644927536232,0.7478260869565219,0.605072463768116,0.04894421086091382,0.6407894736842105,0.6424832070039475
SVM,0.6523188405797102,0.7007246376811594,0.6268115942028986,0.021416827090515345,0.6249999999999999,0.5783859402271555
XGBoost,0.6453260869565217,0.7134057971014494,0.6065217391304347,0.0318467291730807,0.6065789473684211,0.6071965488667007
KNN,0.6207246376811595,0.663768115942029,0.6054347826086957,0.02097057991708522,0.593421052631579,0.5715521113734338
Linear Regression,0.6195652173913043,0.6572463768115943,0.6094202898550725,0.014712504669411654,0.6236842105263157,0.5798024997673392
Logistic Regression,0.6161594202898552,0.6507246376811594,0.5978260869565217,0.015747050969203823,0.6078947368421053,0.6028453891426254
Naive Bayes,0.611123188405797,0.6427536231884058,0.5840579710144927,0.018558247832888165,0.5894736842105264,0.5841894929841176
LDA/QDA,0.5973188405797101,0.6260869565217391,0.5786231884057971,0.015891810818795152,0.5342105263157894,0.4977828126350551
