iteration,model_name,accuracy,precision,recall,f1_score,auc_roc,n_components_used
14,LDA,0.5789473684210527,0.5350877192982456,0.5789473684210527,0.5518796992481204,0.5432692307692308,
14,LDA_No_Shrinkage,0.42105263157894735,0.48891966759002764,0.42105263157894735,0.4413884172797585,0.40865384615384615,
14,QDA,0.4605263157894737,0.5978947368421053,0.4605263157894737,0.46304853041695143,0.4935897435897436,1.0
14,QDA_Regularized,0.3026315789473684,0.09684210526315788,0.3026315789473684,0.1467304625199362,0.4499198717948718,1.0
15,LDA,0.6842105263157895,0.6408668730650156,0.6842105263157895,0.6263157894736843,0.5,
15,LDA_No_Shrinkage,0.47368421052631576,0.5415512465373962,0.47368421052631576,0.49217128843614405,0.46955128205128205,
15,QDA,0.47368421052631576,0.6601503759398496,0.47368421052631576,0.4619883040935673,0.5600961538461539,1.0
15,QDA_Regularized,0.3026315789473684,0.09684210526315788,0.3026315789473684,0.1467304625199362,0.43709935897435903,1.0
16,LDA,0.6710526315789473,0.6113108859104281,0.6710526315789473,0.6039652583872371,0.6137820512820513,
16,LDA_No_Shrinkage,0.47368421052631576,0.5819221967963387,0.47368421052631576,0.4857876398312855,0.5144230769230769,
16,QDA,0.4605263157894737,0.5845964116640809,0.4605263157894737,0.4675421864875472,0.4463141025641026,1.0
16,QDA_Regularized,0.27631578947368424,0.09084354722422494,0.27631578947368424,0.1367335865436788,0.38060897435897434,1.0
17,LDA,0.5657894736842105,0.5118205349439172,0.5657894736842105,0.5329798287413565,0.38782051282051283,
17,LDA_No_Shrinkage,0.4473684210526316,0.506578947368421,0.4473684210526316,0.46659038901601835,0.4278846153846154,
17,QDA,0.3815789473684211,0.5154249259512418,0.3815789473684211,0.37160614384930596,0.47435897435897434,1.0
17,QDA_Regularized,0.32894736842105265,0.7852631578947369,0.32894736842105265,0.178929312990882,0.48717948717948717,1.0
18,LDA,0.6842105263157895,0.6408668730650156,0.6842105263157895,0.6263157894736843,0.49278846153846156,
18,LDA_No_Shrinkage,0.5,0.5583333333333333,0.5,0.5173913043478261,0.4887820512820512,
18,QDA,0.3684210526315789,0.49202551834130787,0.3684210526315789,0.36185578290841447,0.3890224358974359,1.0
18,QDA_Regularized,0.32894736842105265,0.7852631578947369,0.32894736842105265,0.178929312990882,0.4198717948717949,1.0
19,LDA,0.5789473684210527,0.5201309725927722,0.5789473684210527,0.5420129270544782,0.4495192307692308,
19,LDA_No_Shrinkage,0.6052631578947368,0.6513342178976854,0.6052631578947368,0.6182955554697456,0.5993589743589745,
19,QDA,0.3815789473684211,0.4972136222910217,0.3815789473684211,0.3844702665755298,0.4078525641025641,1.0
19,QDA_Regularized,0.35526315789473684,0.5894083033671135,0.35526315789473684,0.26537365831199106,0.4014423076923077,1.0
