iteration,model_name,accuracy,precision,recall,f1_score,auc_roc,n_components_used
0,LDA,0.631578947368421,0.6188197767145136,0.631578947368421,0.6179757085020242,0.6202898550724637,
0,LDA_No_Shrinkage,0.35526315789473684,0.37536929642192807,0.35526315789473684,0.36239545307518134,0.3456521739130435,
0,QDA,0.5131578947368421,0.5726817042606516,0.5131578947368421,0.5083460341507487,0.49492753623188407,1.0
0,QDA_Regularized,0.40789473684210525,0.51882876204596,0.40789473684210525,0.29007142200288144,0.36449275362318845,1.0
1,LDA,0.5921052631578947,0.5692520775623268,0.5921052631578947,0.5681019469617178,0.5550724637681158,
1,LDA_No_Shrinkage,0.5526315789473685,0.5688596491228071,0.5526315789473685,0.5573606320240347,0.5492753623188406,
1,QDA,0.4868421052631579,0.5585898709036743,0.4868421052631579,0.4724159797083069,0.5786231884057971,1.0
1,QDA_Regularized,0.39473684210526316,0.15581717451523547,0.39473684210526316,0.2234359483614697,0.5985507246376812,1.0
2,LDA,0.5921052631578947,0.5692520775623268,0.5921052631578947,0.5681019469617178,0.5021739130434784,
2,LDA_No_Shrinkage,0.40789473684210525,0.4507896725941839,0.40789473684210525,0.40204247396712695,0.4355072463768116,
2,QDA,0.5131578947368421,0.564524848438043,0.5131578947368421,0.5117247664616086,0.5333333333333333,1.0
2,QDA_Regularized,0.4473684210526316,0.7697368421052632,0.4473684210526316,0.3290402476780186,0.571376811594203,1.0
3,LDA,0.5526315789473685,0.5474624060150376,0.5526315789473685,0.5496775688303664,0.5355072463768116,
3,LDA_No_Shrinkage,0.4473684210526316,0.4888634630053394,0.4473684210526316,0.4473684210526316,0.4681159420289855,
3,QDA,0.42105263157894735,0.4809210526315789,0.42105263157894735,0.39453284373725006,0.4144927536231884,1.0
3,QDA_Regularized,0.40789473684210525,0.51882876204596,0.40789473684210525,0.29007142200288144,0.436231884057971,1.0
4,LDA,0.618421052631579,0.6029391660970609,0.618421052631579,0.6017533641909082,0.5876811594202899,
4,LDA_No_Shrinkage,0.5,0.5166666666666666,0.5,0.5052854122621565,0.49420289855072463,
4,QDA,0.5131578947368421,0.5726817042606516,0.5131578947368421,0.5083460341507487,0.5528985507246377,1.0
4,QDA_Regularized,0.40789473684210525,0.5603220379716414,0.40789473684210525,0.27168823584620355,0.4952898550724638,1.0
5,LDA,0.5657894736842105,0.5484866801951556,0.5657894736842105,0.552466070837471,0.5297101449275363,
5,LDA_No_Shrinkage,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.3942028985507246,
5,QDA,0.4342105263157895,0.4965823650034176,0.4342105263157895,0.41185712305346334,0.5170289855072464,1.0
5,QDA_Regularized,0.3815789473684211,0.39221645663454413,0.3815789473684211,0.258519040758565,0.4210144927536232,1.0
6,LDA,0.5526315789473685,0.525375939849624,0.5526315789473685,0.5298245614035088,0.5637681159420289,
6,LDA_No_Shrinkage,0.5263157894736842,0.5484764542936288,0.5263157894736842,0.5316231755860239,0.527536231884058,
6,QDA,0.5,0.5808080808080808,0.5,0.48319327731092443,0.4971014492753624,1.0
6,QDA_Regularized,0.42105263157894735,0.7652916073968705,0.42105263157894735,0.2781713900134952,0.5119565217391304,1.0
7,LDA,0.5263157894736842,0.4764254385964913,0.5263157894736842,0.48551444238158975,0.4615942028985507,
7,LDA_No_Shrinkage,0.4473684210526316,0.4888634630053394,0.4473684210526316,0.4473684210526316,0.4681159420289855,
7,QDA,0.4868421052631579,0.549907120743034,0.4868421052631579,0.47747302528622027,0.494927536231884,1.0
7,QDA_Regularized,0.42105263157894735,0.6129385964912281,0.42105263157894735,0.29708978328173374,0.511231884057971,1.0
8,LDA,0.6052631578947368,0.6008771929824561,0.6052631578947368,0.6026566783797351,0.5644927536231884,
8,LDA_No_Shrinkage,0.5394736842105263,0.5779273765809873,0.5394736842105263,0.5425880463252808,0.5557971014492753,
